NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
062805010730,CA-0161259-6002273,0628050,CA-0161259,KG,05,ACORN Woodland Elementary,Oakland Unified,Alameda County,1025 81st Ave.,Oakland,CA,94621,2455,(510)639-3344,11,City: Large,No,No,Yes,Yes,300.00000,13.00000,23.1000000,256.00000,20.00000
069105106830,CA-0110017-0130419,0691051,CA-0110017,KG,12,Alameda County Community,Alameda County Office of Education,Alameda County,313 W. Winton Ave.,Hayward,CA,94544,1136,(510)670-4590,12,City: Midsize,No,No,Yes,Yes,174.00000,13.00000,13.4000000,138.00000,11.00000
069105109264,CA-0110017-0130401,0691051,CA-0110017,KG,12,Alameda County Juvenile Hall/Court,Alameda County Office of Education,Alameda County,2500 Fairmont Ave.,San Leandro,CA,94578,1005,(510)670-7609,21,Suburb: Large,No,No,Yes,Yes,73.00000,10.00000,7.3000000,70.00000,0.00000
069105108672,CA-0110017-6106751,0691051,CA-0110017,–,–,Alameda County Special Education,Alameda County Office of Education,Alameda County,313 W. Winton Ave.,Hayward,CA,94544,1136,(510)723-3857,12,City: Midsize,No,No,†,†,†,–,†,†,†
060177000041,CA-0161119-0130229,0601770,CA-0161119,09,12,Alameda High,Alameda Unified,Alameda County,2201 Encinal Ave.,Alameda,CA,94501,4406,(510)337-7022,21,Suburb: Large,No,No,No,†,1776.00000,76.19000,23.3000000,371.00000,39.00000
060177010547,CA-0161119-0106401,0601770,CA-0161119,09,12,Alameda Science and Technology Institute,Alameda Unified,Alameda County,555 Ralph Appezzato MEM Pk,Alameda,CA,94501,2109,(510)748-4021,21,Suburb: Large,No,Yes,Yes,No,187.00000,6.11000,30.6000000,52.00000,6.00000
060186000059,CA-0161127-0130450,0601860,CA-0161127,09,12,Albany High,Albany City Unified,Alameda County,603 Key Route Blvd.,Albany,CA,94706,1422,(510)558-2500,21,Suburb: Large,No,No,Yes,No,1129.00000,56.47000,20.0000000,202.00000,30.00000
060186000060,CA-0161127-6090161,0601860,CA-0161127,06,08,Albany Middle,Albany City Unified,Alameda County,1259 Brighton Ave.,Albany,CA,94706,1336,(510)558-3600,21,Suburb: Large,No,No,No,†,880.00000,45.96000,19.1000000,136.00000,30.00000
060002009285,CA-0175101-6002315,0600020,CA-0175101,KG,05,Alisal Elementary,Pleasanton Unified,Alameda County,1454 Santa Rita Rd.,Pleasanton,CA,94566,5697,(925)426-4200,13,City: Small,No,No,Yes,No,622.00000,26.00000,23.9000000,42.00000,10.00000
062805004238,CA-0161259-6001630,0628050,CA-0161259,KG,05,Allendale Elementary,Oakland Unified,Alameda County,3670 Penniman Ave.,Oakland,CA,94619,1116,(510)535-2812,11,City: Large,No,No,Yes,Yes,361.00000,17.00000,21.2000000,282.00000,15.00000
062805012027,CA-0161259-0112771,0628050,CA-0161259,06,08,Alliance Academy,Oakland Unified,Alameda County,1800 98th Ave.,Oakland,CA,94603,2702,(510)639-2893,11,City: Large,No,No,Yes,Yes,358.00000,23.20000,15.4000000,333.00000,11.00000
060780012607,CA-0161150-0118216,0607800,CA-0161150,–,–,Alma Preschool,Castro Valley Unified,Alameda County,4400 Alma Ave.,Castro Valley,CA,94546,3104,(510)537-3000,21,Suburb: Large,No,–,†,†,†,–,†,†,†
062211008438,CA-0161200-6117543,0622110,CA-0161200,KG,05,Altamont Creek Elementary,Livermore Valley Joint Unified,Alameda County,6500 Garaventa Ranch Rd.,Livermore,CA,94551,8701,(925)454-5575,23,Suburb: Small,No,No,No,†,595.00000,24.60000,24.2000000,106.00000,10.00000
062691011552,CA-0161242-0110478,0626910,CA-0161242,09,12,Alternative Learning Academy at Conley-Caraballo High,New Haven Unified,Alameda County,541 Blanche St.,Hayward,CA,94544,7700,(510)471-5126,12,City: Midsize,No,No,Yes,No,11.00000,1.00000,11.0000000,6.00000,1.00000
062691004065,CA-0161242-6001572,0626910,CA-0161242,KG,05,Alvarado Elementary,New Haven Unified,Alameda County,31100 Fredi St.,Union City,CA,94587,2662,(510)471-1039,21,Suburb: Large,No,No,Yes,Yes,767.00000,32.00000,24.0000000,311.00000,84.00000
060002009282,CA-0175101-0130583,0600020,CA-0175101,09,12,Amador Valley High,Pleasanton Unified,Alameda County,1155 Santa Rita Rd.,Pleasanton,CA,94566,6176,(925)461-6100,13,City: Small,No,No,No,†,2673.00000,113.90000,23.5000000,145.00000,32.00000
060177000043,CA-0161119-6100374,0601770,CA-0161119,KG,05,Amelia Earhart Elementary,Alameda Unified,Alameda County,400 Packet Landing Rd.,Alameda,CA,94502,6534,(510)748-4003,21,Suburb: Large,No,No,No,†,643.00000,24.00000,26.8000000,70.00000,12.00000
061440001654,CA-0161176-0130062,0614400,CA-0161176,09,12,American High,Fremont Unified,Alameda County,36300 Fremont Blvd.,Fremont,CA,94536,3511,(510)796-1776,21,Suburb: Large,No,No,Yes,No,2273.00000,97.52000,23.3000000,371.00000,68.00000
062211002618,CA-0161200-6085773,0622110,CA-0161200,06,08,Andrew N. Christensen Middle,Livermore Valley Joint Unified,Alameda County,5757 Haggin Oaks Ave.,Livermore,CA,94551,1100,(925)606-4702,23,Suburb: Small,No,No,No,†,717.00000,29.84000,24.0000000,125.00000,22.00000
061263001425,CA-0161168-6090492,0612630,CA-0161168,KG,08,Anna Yates Elementary,Emery Unified,Alameda County,4727 San Pablo Ave.,Emeryville,CA,94608,3643,(510)601-4916,21,Suburb: Large,No,No,Yes,Yes,511.00000,26.00000,19.7000000,344.00000,48.00000
061674009847,CA-0161192-6056956,0616740,CA-0161192,07,08,Anthony W. Ochoa Middle,Hayward Unified,Alameda County,2121 Depot Rd.,Hayward,CA,94545,2428,(510)723-3130,12,City: Midsize,No,No,Yes,Yes,571.00000,25.93000,22.0000000,340.00000,54.00000
061440008138,CA-0161176-6104723,0614400,CA-0161176,KG,06,Ardenwood Elementary,Fremont Unified,Alameda County,33955 Emilia Ln.,Fremont,CA,94555,2068,(510)794-0392,21,Suburb: Large,No,No,No,†,948.00000,36.00000,26.3000000,74.00000,9.00000
063471005845,CA-0161309-0130849,0634710,CA-0161309,09,12,Arroyo High,San Lorenzo Unified,Alameda County,15701 Lorenzo Ave.,San Lorenzo,CA,94580,1407,(510)317-4000,21,Suburb: Large,No,No,No,†,1830.00000,79.33000,23.1000000,731.00000,202.00000
062211002620,CA-0161200-6071906,0622110,CA-0161200,KG,05,Arroyo Seco Elementary,Livermore Valley Joint Unified,Alameda County,5280 Irene Way,Livermore,CA,94550,3508,(925)606-4700,23,Suburb: Small,No,No,No,†,664.00000,27.00000,24.6000000,131.00000,21.00000
062706004090,CA-0161234-6001440,0627060,CA-0161234,KG,06,August Schilling Elementary,Newark Unified,Alameda County,36901 Spruce St.,Newark,CA,94560,2719,(510)818-3800,21,Suburb: Large,No,No,Yes,Yes,413.00000,17.00000,24.3000000,276.00000,36.00000
063468005831,CA-0161291-6057111,0634680,CA-0161291,06,08,Bancroft Middle,San Leandro Unified,Alameda County,13701 Bancroft Ave.,San Leandro,CA,94578,,(510)618-4380,13,City: Small,No,No,Yes,Yes,1048.00000,45.45000,23.1000000,610.00000,106.00000
063471005846,CA-0161309-6002505,0634710,CA-0161309,KG,05,Bay Elementary,San Lorenzo Unified,Alameda County,2001 Bockman Rd.,San Lorenzo,CA,94580,1903,(510)317-4300,21,Suburb: Large,No,No,Yes,No,490.00000,22.12000,22.2000000,219.00000,47.00000
060177000006,CA-0161119-6110779,0601770,CA-0161119,KG,08,Bay Farm,Alameda Unified,Alameda County,200 Aughinbaugh Way,Alameda,CA,94502,7451,(510)748-4010,21,Suburb: Large,No,No,No,†,640.00000,27.70000,23.1000000,56.00000,15.00000
063033004729,CA-0161275-6002281,0630330,CA-0161275,KG,05,Beach Elementary,Piedmont City Unified,Alameda County,100 Lake Ave.,Piedmont,CA,94611,4340,(510)594-2666,21,Suburb: Large,No,No,Yes,No,298.00000,14.00000,21.3000000,7.00000,0.00000
062805004241,CA-0161259-6001655,0628050,CA-0161259,KG,05,Bella Vista Elementary,Oakland Unified,Alameda County,1025 E. 28th St.,Oakland,CA,94610,4018,(510)436-4900,11,City: Large,No,No,Yes,Yes,447.00000,19.00000,23.5000000,328.00000,26.00000
060474000431,CA-0161143-6097729,0604740,CA-0161143,KG,05,Berkeley Arts Magnet at Whittier,Berkeley Unified,Alameda County,1645 Milvia St.,Berkeley,CA,94709,2073,(510)644-6225,12,City: Midsize,No,Yes,No,†,442.00000,20.98000,21.1000000,132.00000,16.00000
060474000432,CA-0161143-0131177,0604740,CA-0161143,09,12,Berkeley High,Berkeley Unified,Alameda County,1980 Allston Way,Berkeley,CA,94704,1463,(510)644-6120,12,City: Midsize,No,No,No,†,3117.00000,153.40000,20.3000000,809.00000,75.00000
060474012843,CA-0161143-0122804,0604740,CA-0161143,–,–,Berkeley Special Education Preschool,Berkeley Unified,Alameda County,2134 MLK Jr. Way,Berkeley,CA,94704,1180,(510)644-6120,12,City: Midsize,No,–,†,†,†,–,†,†,†
060474011300,CA-0161143-0134924,0604740,CA-0161143,10,12,Berkeley Technology Academy,Berkeley Unified,Alameda County,2701 MLK Jr. Way,Berkeley,CA,94704,2165,(510)644-6159,12,City: Midsize,No,No,Yes,Yes,51.00000,7.54000,6.8000000,37.00000,0.00000
062706004086,CA-0161234-6001531,0627060,CA-0161234,03,06,Birch Grove Intermediate,Newark Unified,Alameda County,37490 Birch St.,Newark,CA,94560,4140,(510)818-3600,21,Suburb: Large,No,No,No,†,458.00000,13.40000,34.2000000,169.00000,36.00000
062706004079,CA-0161234-6001499,0627060,CA-0161234,KG,06,Birch Grove Primary,Newark Unified,Alameda County,6071 Smith Ave.,Newark,CA,94560,4536,(510)818-3100,21,Suburb: Large,No,No,No,†,408.00000,12.90000,31.6000000,122.00000,19.00000
063471007483,CA-0161309-6002513,0634710,CA-0161309,06,08,Bohannon Middle,San Lorenzo Unified,Alameda County,800 Bockman Rd.,San Lorenzo,CA,94580,2906,(510)317-3800,21,Suburb: Large,No,No,Yes,Yes,807.00000,34.99000,23.1000000,476.00000,66.00000
061674002104,CA-0161192-6000889,0616740,CA-0161192,KG,06,Bowman Elementary,Hayward Unified,Alameda County,PO Box 5000,Hayward,CA,94540,5000,(510)723-3800,12,City: Midsize,No,No,Yes,Yes,350.00000,14.67000,23.9000000,231.00000,28.00000
061674002123,CA-0161192-0133009,0616740,CA-0161192,09,12,Brenkwitz High,Hayward Unified,Alameda County,22100 Princeton St.,Hayward,CA,94541,3817,(510)723-3160,12,City: Midsize,No,No,Yes,Yes,187.00000,14.33000,13.0000000,134.00000,13.00000
062805004242,CA-0161259-6056998,0628050,CA-0161259,06,09,Bret Harte Middle,Oakland Unified,Alameda County,3700 Coolidge Ave.,Oakland,CA,94602,3309,(510)531-6400,11,City: Large,No,No,Yes,Yes,591.00000,38.96000,15.2000000,475.00000,34.00000
061674002105,CA-0161192-6056931,0616740,CA-0161192,07,08,Bret Harte Middle,Hayward Unified,Alameda County,PO Box 5000,Hayward,CA,94540,5000,(510)723-3100,12,City: Midsize,No,No,No,†,613.00000,25.50000,24.0000000,369.00000,55.00000
062706004080,CA-0161234-0135426,0627060,CA-0161234,09,12,Bridgepoint High (Continuation),Newark Unified,Alameda County,5715 Musick Ave.,Newark,CA,94560,,(510)818-3200,21,Suburb: Large,No,No,Yes,Yes,62.00000,4.50000,13.8000000,39.00000,1.00000
062805004301,CA-0161259-6002075,0628050,CA-0161259,KG,05,Bridges Academy,Oakland Unified,Alameda County,1325 53rd Ave.,Oakland,CA,94601,5728,(510)535-3876,11,City: Large,No,No,Yes,Yes,442.00000,16.00000,27.6000000,408.00000,18.00000
061440001657,CA-0161176-6000558,0614400,CA-0161176,KG,06,Brier Elementary,Fremont Unified,Alameda County,39201 Sundale Dr.,Fremont,CA,94538,1916,(510)657-5020,21,Suburb: Large,No,No,Yes,No,718.00000,28.00000,25.6000000,224.00000,53.00000
062805004243,CA-0161259-6001663,0628050,CA-0161259,KG,05,Brookfield Elementary,Oakland Unified,Alameda County,401 Jones Ave.,Oakland,CA,94603,1123,(510)639-3310,11,City: Large,No,No,Yes,Yes,296.00000,14.50000,20.4000000,263.00000,11.00000
061440001658,CA-0161176-6089320,0614400,CA-0161176,KG,06,Brookvale Elementary,Fremont Unified,Alameda County,3400 Nicolet Ave.,Fremont,CA,94536,3598,(510)797-5940,21,Suburb: Large,No,No,No,†,717.00000,31.00000,23.1000000,94.00000,12.00000
061674002106,CA-0161192-6000905,0616740,CA-0161192,KG,06,Burbank Elementary,Hayward Unified,Alameda County,353 B St.,Hayward,CA,94541,6307,(510)723-3805,12,City: Midsize,No,No,Yes,Yes,914.00000,35.00000,26.1000000,530.00000,72.00000
062805013483,CA-0161259-0123026,0628050,CA-0161259,–,–,Burbank Preschool Center,Oakland Unified,Alameda County,3550 64th Ave.,Oakland,CA,94605,1802,(510)729-7771,11,City: Large,No,–,†,†,†,–,†,†,†
062805004245,CA-0161259-6001689,0628050,CA-0161259,KG,05,Burckhalter Elementary,Oakland Unified,Alameda County,3994 Burckhalter Ave.,Oakland,CA,94605,2616,(510)729-7700,11,City: Large,No,No,Yes,Yes,248.00000,10.50000,23.6000000,201.00000,13.00000
061440001659,CA-0161176-6000566,0614400,CA-0161176,KG,06,Cabrillo Elementary,Fremont Unified,Alameda County,36700 San Pedro Dr.,Fremont,CA,94536,6406,(510)792-3232,21,Suburb: Large,No,No,Yes,No,426.00000,20.00000,21.3000000,167.00000,50.00000
060000210346,CA-0131609-0131755,0600002,CA-0131609,KG,12,California School for the Blind,California School for the Blind (State Special Schl),Alameda County,500 Walnut Ave.,Fremont,CA,94536,4365,(510)794-3800,21,Suburb: Large,No,Yes,–,–,40.00000,13.00000,3.1000000,37.00000,0.00000
060000310347,CA-0131617-0131763,0600003,CA-0131617,KG,12,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda County,39350 Gallaudet Dr.,Fremont,CA,94538,2308,(510)794-3666,21,Suburb: Large,No,No,–,–,375.00000,73.91000,5.1000000,372.00000,0.00000
060780000740,CA-0161150-6097653,0607800,CA-0161150,06,08,Canyon Middle,Castro Valley Unified,Alameda County,PO Box 2146,Castro Valley,CA,94546,,(510)538-8833,21,Suburb: Large,No,No,Yes,No,1388.00000,58.35000,23.8000000,285.00000,53.00000
062805004246,CA-0161259-6001697,0628050,CA-0161259,KG,05,Carl B. Munck Elementary,Oakland Unified,Alameda County,11900 Campus Dr.,Oakland,CA,94619,3104,(510)531-4900,11,City: Large,No,No,Yes,Yes,236.00000,12.00000,19.7000000,160.00000,15.00000
062805012992,CA-0161259-0125161,0628050,CA-0161259,09,12,Castlemont High,Oakland Unified,Alameda County,8601 MacArthur Blvd.,Oakland,CA,94605,4037,(510)639-1466,11,City: Large,No,No,Yes,Yes,858.00000,52.29000,16.4000000,763.00000,26.00000
060780000741,CA-0161150-6090351,0607800,CA-0161150,KG,05,Castro Valley Elementary,Castro Valley Unified,Alameda County,PO Box 2146,Castro Valley,CA,94546,0146,(510)537-1919,21,Suburb: Large,No,No,Yes,Yes,474.00000,18.50000,25.6000000,177.00000,43.00000
060780000742,CA-0161150-0132225,0607800,CA-0161150,09,12,Castro Valley High,Castro Valley Unified,Alameda County,PO Box 2146,Castro Valley,CA,94546,,(510)537-5910,21,Suburb: Large,No,No,No,†,2934.00000,121.83000,24.1000000,578.00000,120.00000
060780014010,CA-0161150-0133876,0607800,CA-0161150,KG,12,Castro Valley Virtual Academy,Castro Valley Unified,Alameda County,18400 Clifton Way,Castro Valley,CA,94546,2020,(510)537-3193,21,Suburb: Large,No,No,No,†,13.00000,0.60000,21.7000000,4.00000,0.00000
061440001660,CA-0161176-6056873,0614400,CA-0161176,07,08,Centerville Junior High,Fremont Unified,Alameda County,37720 Fremont Blvd.,Fremont,CA,94536,5096,(510)797-2072,21,Suburb: Large,No,No,Yes,No,1006.00000,44.71000,22.5000000,230.00000,54.00000
062691004073,CA-0161242-6097679,0626910,CA-0161242,06,08,Cesar Chavez Middle,New Haven Unified,Alameda County,2801 Hop Ranch Rd.,Union City,CA,94587,5708,(510)471-1700,21,Suburb: Large,No,No,Yes,Yes,1252.00000,54.50000,23.0000000,645.00000,133.00000
061674002118,CA-0161192-6056949,0616740,CA-0161192,07,08,Cesar Chavez Middle,Hayward Unified,Alameda County,27845 Whitman Rd.,Hayward,CA,94544,4752,(510)723-3110,12,City: Midsize,No,No,Yes,Yes,548.00000,24.56000,22.3000000,377.00000,50.00000
062805004239,CA-0161259-6001648,0628050,CA-0161259,KG,05,Chabot Elementary,Oakland Unified,Alameda County,6686 Chabot Rd.,Oakland,CA,94618,1641,(510)654-4884,11,City: Large,No,No,No,†,567.00000,21.50000,26.4000000,83.00000,8.00000
060780007661,CA-0161150-6090369,0607800,CA-0161150,KG,05,Chabot Elementary,Castro Valley Unified,Alameda County,PO Box 2146,Castro Valley,CA,94546,,(510)537-2342,21,Suburb: Large,No,No,No,†,468.00000,16.50000,28.4000000,71.00000,24.00000
061674002108,CA-0161192-6000913,0616740,CA-0161192,KG,06,Cherryland Elementary,Hayward Unified,Alameda County,585 Willow Ave.,Hayward,CA,94541,2424,(510)723-3810,21,Suburb: Large,No,No,Yes,Yes,759.00000,30.00000,25.3000000,496.00000,47.00000
061440007479,CA-0161176-0130534,0614400,CA-0161176,KG,12,Circle of Independent Learning,Fremont Unified,Alameda County,4700 Calaveras Ave.,Fremont,CA,94538,1124,(510)797-0100,21,Suburb: Large,Yes,No,Yes,No,347.00000,15.96000,21.7000000,115.00000,28.00000
062805004250,CA-0161259-6057004,0628050,CA-0161259,06,08,Claremont Middle,Oakland Unified,Alameda County,5750 College Ave.,Oakland,CA,94618,1629,(510)654-7337,11,City: Large,No,No,Yes,Yes,474.00000,22.00000,21.5000000,186.00000,25.00000
062805004251,CA-0161259-6001739,0628050,CA-0161259,KG,05,Cleveland Elementary,Oakland Unified,Alameda County,745 Cleveland St.,Oakland,CA,94606,1513,(510)874-3600,11,City: Large,No,No,Yes,Yes,411.00000,15.50000,26.5000000,170.00000,30.00000
062805011920,CA-0161259-0112797,0628050,CA-0161259,06,12,Coliseum College Prep Academy,Oakland Unified,Alameda County,1390 66th Ave.,Oakland,CA,94621,3506,(510)639-3201,11,City: Large,No,No,Yes,Yes,475.00000,29.30000,16.2000000,414.00000,35.00000
063471005847,CA-0161309-6002521,0634710,CA-0161309,KG,05,Colonial Acres Elementary,San Lorenzo Unified,Alameda County,17115 Meekland Ave.,Hayward,CA,94541,1304,(510)317-4500,21,Suburb: Large,No,No,Yes,Yes,590.00000,26.00000,22.7000000,447.00000,38.00000
062805010718,CA-0161259-0106542,0628050,CA-0161259,09,12,Community Day High,Oakland Unified,Alameda County,4917 Mountain Blvd.,Oakland,CA,94619,3014,(510)531-6800,11,City: Large,No,No,Yes,Yes,22.00000,3.00000,7.3000000,19.00000,1.00000
062805010719,CA-0161259-0106559,0628050,CA-0161259,06,08,Community Day Middle,Oakland Unified,Alameda County,4917 Mountain Blvd.,Oakland,CA,94619,3014,(510)531-6800,11,City: Large,No,No,No,†,11.00000,–,†,8.00000,0.00000
062805012058,CA-0161259-0115204,0628050,CA-0161259,KG,05,Community United Elementary,Oakland Unified,Alameda County,6701 International Blvd.,Oakland,CA,94621,3501,(510)639-2850,11,City: Large,No,No,Yes,Yes,367.00000,18.00000,20.4000000,332.00000,15.00000
062691011551,CA-0161242-0110460,0626910,CA-0161242,09,12,Core Learning Academy at Conley-Caraballo High,New Haven Unified,Alameda County,541 Blanche St.,Hayward,CA,94544,7700,(510)471-5126,12,City: Midsize,No,No,Yes,Yes,154.00000,8.60000,17.9000000,69.00000,10.00000
060186000061,CA-0161127-6090146,0601860,CA-0161127,KG,05,Cornell Elementary,Albany City Unified,Alameda County,920 Talbot Ave.,Albany,CA,94706,2020,(510)558-3700,21,Suburb: Large,No,No,No,†,553.00000,24.00000,23.0000000,68.00000,12.00000
063471005848,CA-0161309-6002539,0634710,CA-0161309,KG,05,Corvallis Elementary,San Lorenzo Unified,Alameda County,14790 Corvallis St.,San Leandro,CA,94579,1174,(510)317-4900,13,City: Small,No,No,Yes,No,489.00000,22.00000,22.2000000,252.00000,59.00000
060474006895,CA-0161143-6090195,0604740,CA-0161143,KG,05,Cragmont Elementary,Berkeley Unified,Alameda County,830 Regal Rd.,Berkeley,CA,94708,1308,(510)644-8810,12,City: Midsize,No,No,Yes,Yes,399.00000,20.36000,19.6000000,128.00000,12.00000
060780006909,CA-0161150-6090385,0607800,CA-0161150,06,08,Creekside Middle,Castro Valley Unified,Alameda County,PO Box 2146,Castro Valley,CA,94546,,(510)247-0665,21,Suburb: Large,No,No,No,†,784.00000,33.30000,23.5000000,154.00000,40.00000
062805004253,CA-0161259-6001754,0628050,CA-0161259,KG,05,Crocker Highlands Elementary,Oakland Unified,Alameda County,525 Midcrest Rd.,Oakland,CA,94610,1813,(510)451-5900,11,City: Large,No,No,No,†,473.00000,20.00000,23.7000000,36.00000,2.00000
062706001921,CA-0161234-0130484,0627060,CA-0161234,KG,12,Crossroads High (Alternative),Newark Unified,Alameda County,35753 Cedar Blvd.,Newark,CA,94560,1324,(510)818-3720,21,Suburb: Large,No,No,Yes,No,55.00000,2.00000,27.5000000,30.00000,1.00000
063471007484,CA-0161309-6002547,0634710,CA-0161309,KG,05,Dayton Elementary,San Lorenzo Unified,Alameda County,1500 Dayton Ave.,San Leandro,CA,94579,1528,(510)317-3600,13,City: Small,No,No,Yes,No,472.00000,19.00000,24.8000000,252.00000,43.00000
062691013202,CA-0161242-0126763,0626910,CA-0161242,KG,12,Decoto School for Independent Study,New Haven Unified,Alameda County,725 Whipple Rd.,Union City,CA,94587,2400,(510)476-2696,21,Suburb: Large,No,No,Yes,No,118.00000,5.70000,20.7000000,56.00000,3.00000
063471005850,CA-0161309-6002554,0634710,CA-0161309,KG,05,Del Rey Elementary,San Lorenzo Unified,Alameda County,1510 Via Sonya,San Lorenzo,CA,94580,2760,(510)317-5000,21,Suburb: Large,No,No,Yes,Yes,526.00000,23.00000,22.9000000,292.00000,34.00000
062211002621,CA-0161200-0132670,0622110,CA-0161200,07,12,Del Valle Continuation High,Livermore Valley Joint Unified,Alameda County,2253 Fifth St.,Livermore,CA,94550,4549,(925)606-4709,23,Suburb: Small,No,No,Yes,No,115.00000,12.00000,9.6000000,61.00000,5.00000
